model,canonical,app_selectable,responses_api,batch_api,app_live,app_batch,strict_json_schema,reasoning_effort,reasoning_mode,reasoning_summary,temperature_top_p,file_id_input,image_input,pdf_input,file_search_vector_stores,image_detail,context_window,max_input_tokens,max_output_tokens,service_tier_live,service_tier_batch,prompt_cache_retention,prompt_cache_options,all_documented_features,all_documented_endpoints,notes,source,source_sha256
gpt-5,gpt-5,True,True,True,True,True,True,"minimal,low,medium,high",,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high",400000,272000,128000,"auto,default,flex,priority","auto,default","in_memory,24h",False,"code_interpreter,file_search,file_uploads,function_calling,image_generation,image_input,mcp,prompt_caching,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5,b0c700463ca0c9924e56eadc206da6b161a0ee1ee45f3581c5559769a0fae1f2
gpt-5-2025-08-07,gpt-5,True,True,True,True,True,True,"minimal,low,medium,high",,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high",400000,272000,128000,"auto,default,flex,priority","auto,default","in_memory,24h",False,"code_interpreter,file_search,file_uploads,function_calling,image_generation,image_input,mcp,prompt_caching,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5,b0c700463ca0c9924e56eadc206da6b161a0ee1ee45f3581c5559769a0fae1f2
gpt-5-chat-latest,gpt-5-chat-latest,True,True,False,True,False,True,,,,omit,True,True,True,True,"auto,low,high",128000,272000,16384,"auto,default","auto,default",,False,"code_interpreter,file_search,function_calling,image_generation,image_input,mcp,streaming,structured_outputs,web_search,file_uploads","v1/chat/completions,v1/responses",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5-chat-latest,bb8895983511c72d53e94bd2d99ff238154c239e30d82cbf68d313527521cff6
gpt-5-codex,gpt-5-codex,True,True,False,True,False,True,"low,medium,high",,"auto,concise,detailed",omit,True,True,True,False,"auto,low,high",400000,272000,128000,"auto,default","auto,default","in_memory,24h",False,"function_calling,image_input,prompt_caching,streaming,structured_outputs,web_search,file_uploads",v1/responses,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5-codex,6fc70e186bac08c7ef70a9c6e8e34633fdf0dac70dcd92db6a4ec2fead23ca6e
gpt-5-mini,gpt-5-mini,True,True,True,True,True,True,"minimal,low,medium,high",,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high",400000,272000,128000,"auto,default,flex,priority","auto,default",,False,"code_interpreter,file_search,file_uploads,function_calling,image_input,mcp,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5-mini,0ca1996f57cc3e3f39a1a100843120fafb78eb4c987d51feb5d1f36ee8918e9f
gpt-5-mini-2025-08-07,gpt-5-mini,True,True,True,True,True,True,"minimal,low,medium,high",,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high",400000,272000,128000,"auto,default,flex,priority","auto,default",,False,"code_interpreter,file_search,file_uploads,function_calling,image_input,mcp,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5-mini,0ca1996f57cc3e3f39a1a100843120fafb78eb4c987d51feb5d1f36ee8918e9f
gpt-5-nano,gpt-5-nano,True,True,True,True,True,True,"minimal,low,medium,high",,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high",400000,272000,128000,"auto,default,flex","auto,default",in_memory,False,"code_interpreter,file_search,file_uploads,function_calling,image_generation,image_input,mcp,prompt_caching,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5-nano,301799754c7b0a9583d7faa412dadd61a7136a30e5c7f6ab05c01f89005b8483
gpt-5-nano-2025-08-07,gpt-5-nano,True,True,True,True,True,True,"minimal,low,medium,high",,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high",400000,272000,128000,"auto,default,flex","auto,default",in_memory,False,"code_interpreter,file_search,file_uploads,function_calling,image_generation,image_input,mcp,prompt_caching,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5-nano,301799754c7b0a9583d7faa412dadd61a7136a30e5c7f6ab05c01f89005b8483
gpt-5-pro,gpt-5-pro,True,True,True,True,True,True,high,,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high",400000,,272000,"auto,default","auto,default",,False,"file_search,file_uploads,function_calling,image_generation,image_input,mcp,streaming,structured_outputs,web_search","v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5-pro,2cd9ed638c750aa456271847add4ea5237af72e827ad5d61b9c33d4e95bd6caf
gpt-5-pro-2025-10-06,gpt-5-pro,True,True,True,True,True,True,high,,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high",400000,,272000,"auto,default","auto,default",,False,"file_search,file_uploads,function_calling,image_generation,image_input,mcp,streaming,structured_outputs,web_search","v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5-pro,2cd9ed638c750aa456271847add4ea5237af72e827ad5d61b9c33d4e95bd6caf
gpt-5.1,gpt-5.1,True,True,True,True,True,True,"none,low,medium,high",,"auto,concise,detailed",explicit_none,True,True,True,True,"auto,low,high",400000,,128000,"auto,default,flex,priority","auto,default","in_memory,24h",False,"apply_patch,code_interpreter,file_search,file_uploads,function_calling,image_generation,image_input,mcp,prompt_caching,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/batch",,https://developers.openai.com/api/docs/models/gpt-5.1,5a7dc9516416fc9a33735e207d5d1b93f2931d3885b8db98b3e9cbfe0f8ab080
gpt-5.1-2025-11-13,gpt-5.1,True,True,True,True,True,True,"none,low,medium,high",,"auto,concise,detailed",explicit_none,True,True,True,True,"auto,low,high",400000,,128000,"auto,default,flex,priority","auto,default","in_memory,24h",False,"apply_patch,code_interpreter,file_search,file_uploads,function_calling,image_generation,image_input,mcp,prompt_caching,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/batch",,https://developers.openai.com/api/docs/models/gpt-5.1,5a7dc9516416fc9a33735e207d5d1b93f2931d3885b8db98b3e9cbfe0f8ab080
gpt-5.1-chat-latest,gpt-5.1-chat-latest,True,True,False,True,False,True,,,,omit,True,True,True,True,"auto,low,high",128000,272000,16384,"auto,default","auto,default","in_memory,24h",False,"code_interpreter,file_search,function_calling,image_generation,image_input,mcp,streaming,structured_outputs,web_search,file_uploads","v1/chat/completions,v1/responses",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.1-chat-latest,0178f1e9d23a4ee7788da9ba9b746cad523cb86bdcc0c33149fa52b22117d0f6
gpt-5.1-codex,gpt-5.1-codex,True,True,False,True,False,True,"low,medium,high",,"auto,concise,detailed",omit,True,True,True,False,"auto,low,high",400000,,128000,"auto,default","auto,default","in_memory,24h",False,"function_calling,image_input,prompt_caching,streaming,structured_outputs,web_search,file_uploads",v1/responses,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.1-codex,c8d4fbd3ca2fb1c68684f8125ffb96b4afa838831321c7081adfffbdff6660fa
gpt-5.1-codex-max,gpt-5.1-codex-max,True,True,False,True,False,True,"low,medium,high,xhigh",,"auto,concise,detailed",omit,True,True,True,False,"auto,low,high",400000,,128000,"auto,default","auto,default","in_memory,24h",False,"function_calling,image_input,prompt_caching,streaming,structured_outputs,web_search,file_uploads",v1/responses,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.1-codex-max,fd95ee74f33078cebe847d2612da4b5d8cc7816d3e82274131c83b602dc60000
gpt-5.1-codex-mini,gpt-5.1-codex-mini,True,True,False,True,False,True,"low,medium,high",,"auto,concise,detailed",omit,True,True,True,False,"auto,low,high",400000,,128000,"auto,default","auto,default","in_memory,24h",False,"evals,function_calling,image_input,prompt_caching,stored_completions,streaming,structured_outputs,web_search,file_uploads",v1/responses,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.1-codex-mini,5d7c5745d2d80d3706ea67203882fc567fb186bdc31b5c713663cc4c86b31d13
gpt-5.2,gpt-5.2,True,True,True,True,True,True,"none,low,medium,high,xhigh",,"auto,concise,detailed",explicit_none,True,True,True,True,"auto,low,high",400000,,128000,"auto,default,flex,priority","auto,default","in_memory,24h",False,"apply_patch,code_interpreter,file_search,file_uploads,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/batch",,https://developers.openai.com/api/docs/models/gpt-5.2,57f6eb3c41f2a2013abfdd03135a05cd4dc94494e04dc6a6766ebaf072266028
gpt-5.2-2025-12-11,gpt-5.2,True,True,True,True,True,True,"none,low,medium,high,xhigh",,"auto,concise,detailed",explicit_none,True,True,True,True,"auto,low,high",400000,,128000,"auto,default,flex,priority","auto,default","in_memory,24h",False,"apply_patch,code_interpreter,file_search,file_uploads,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/batch",,https://developers.openai.com/api/docs/models/gpt-5.2,57f6eb3c41f2a2013abfdd03135a05cd4dc94494e04dc6a6766ebaf072266028
gpt-5.2-chat-latest,gpt-5.2-chat-latest,False,True,False,False,False,True,,,,omit,True,True,True,True,"auto,low,high",128000,272000,16384,"auto,default","auto,default",,False,"code_interpreter,file_search,function_calling,image_generation,image_input,mcp,streaming,structured_outputs,web_search,file_uploads","v1/chat/completions,v1/responses",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.2-chat-latest,5fdf444324504481ab4aefb4634cdc7b635a2b0bc311488ec41a0802f289159b
gpt-5.2-codex,gpt-5.2-codex,True,True,False,True,False,True,"low,medium,high,xhigh",,"auto,concise,detailed",omit,True,True,True,False,"auto,low,high",400000,272000,128000,"auto,default","auto,default",in_memory,False,"function_calling,hosted_shell,image_input,prompt_caching,skills,streaming,structured_outputs,web_search,file_uploads",v1/responses,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.2-codex,afd41af9a2532a305e36ccb4c8e1d6f88b36c4cd7d47de379a1b8fb793ef4805
gpt-5.2-pro,gpt-5.2-pro,False,True,False,False,False,False,"medium,high,xhigh",,"auto,concise,detailed",omit,False,True,False,True,"auto,low,high",400000,,128000,"auto,default","auto,default",,False,"file_search,function_calling,image_generation,image_input,mcp,streaming,web_search",v1/responses,"Ceník uvádí Batch, modelová stránka jej nepotvrzuje a nepotvrzuje strict Structured Outputs; aplikace model nepovoluje. Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.",https://developers.openai.com/api/docs/models/gpt-5.2-pro,7203edae256f60eae9bd98d7c21c7a4a84dfda03dd66e49653e7495c705d8f76
gpt-5.2-pro-2025-12-11,gpt-5.2-pro,False,True,False,False,False,False,"medium,high,xhigh",,"auto,concise,detailed",omit,False,True,False,True,"auto,low,high",400000,,128000,"auto,default","auto,default",,False,"file_search,function_calling,image_generation,image_input,mcp,streaming,web_search",v1/responses,"Ceník uvádí Batch, modelová stránka jej nepotvrzuje a nepotvrzuje strict Structured Outputs; aplikace model nepovoluje. Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.",https://developers.openai.com/api/docs/models/gpt-5.2-pro,7203edae256f60eae9bd98d7c21c7a4a84dfda03dd66e49653e7495c705d8f76
gpt-5.3-chat-latest,gpt-5.3-chat-latest,False,True,False,False,False,True,,,,omit,True,True,True,True,"auto,low,high",128000,272000,16384,"auto,default","auto,default",,False,"code_interpreter,file_search,function_calling,image_generation,image_input,mcp,streaming,structured_outputs,web_search,file_uploads","v1/chat/completions,v1/responses",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.3-chat-latest,2f6d0342b9a51a164051688517d7867c1eb93cf0715f218fb3c9d4ed1ad565a1
gpt-5.3-codex,gpt-5.3-codex,True,True,False,True,False,True,"low,medium,high,xhigh",,"auto,concise,detailed",omit,True,True,True,False,"auto,low,high",400000,272000,128000,"auto,default","auto,default",in_memory,False,"function_calling,hosted_shell,image_input,prompt_caching,skills,streaming,structured_outputs,web_search,file_uploads",v1/responses,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.3-codex,535f5edd3b7073dcf8efce1f1359d9ff6a79636c4ec61361fc9f962a150c0bbf
gpt-5.4,gpt-5.4,True,True,True,True,True,True,"none,low,medium,high,xhigh",,"auto,concise,detailed",explicit_none,True,True,True,True,"auto,low,high,original",1050000,,128000,"auto,default,flex,priority","auto,default","in_memory,24h",False,"apply_patch,code_interpreter,computer_use,file_search,file_uploads,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search","v1/chat/completions,v1/responses,v1/batch",,https://developers.openai.com/api/docs/models/gpt-5.4,1cb49c3be21fced4a7a0308aaa4ef5b0546158411c12a03d1729fbf08bc90002
gpt-5.4-2026-03-05,gpt-5.4,True,True,True,True,True,True,"none,low,medium,high,xhigh",,"auto,concise,detailed",explicit_none,True,True,True,True,"auto,low,high,original",1050000,,128000,"auto,default,flex,priority","auto,default","in_memory,24h",False,"apply_patch,code_interpreter,computer_use,file_search,file_uploads,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search","v1/chat/completions,v1/responses,v1/batch",,https://developers.openai.com/api/docs/models/gpt-5.4,1cb49c3be21fced4a7a0308aaa4ef5b0546158411c12a03d1729fbf08bc90002
gpt-5.4-mini,gpt-5.4-mini,True,True,True,True,True,True,"none,low,medium,high,xhigh",,"auto,concise,detailed",explicit_none,True,True,True,True,"auto,low,high,original",400000,272000,128000,"auto,default,flex,priority","auto,default",in_memory,False,"apply_patch,code_interpreter,computer_use,file_search,file_uploads,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search","v1/chat/completions,v1/responses,v1/batch",,https://developers.openai.com/api/docs/models/gpt-5.4-mini,b389a5ecdefd8480355632ddfc0268cddce7a8d804d8f8472f47b5675f53b74b
gpt-5.4-mini-2026-03-17,gpt-5.4-mini,True,True,True,True,True,True,"none,low,medium,high,xhigh",,"auto,concise,detailed",explicit_none,True,True,True,True,"auto,low,high,original",400000,272000,128000,"auto,default,flex,priority","auto,default",in_memory,False,"apply_patch,code_interpreter,computer_use,file_search,file_uploads,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search","v1/chat/completions,v1/responses,v1/batch",,https://developers.openai.com/api/docs/models/gpt-5.4-mini,b389a5ecdefd8480355632ddfc0268cddce7a8d804d8f8472f47b5675f53b74b
gpt-5.4-nano,gpt-5.4-nano,True,True,True,True,True,True,"none,low,medium,high,xhigh",,"auto,concise,detailed",explicit_none,True,True,True,True,"auto,low,high",400000,272000,128000,"auto,default,flex","auto,default",in_memory,False,"apply_patch,code_interpreter,file_search,file_uploads,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/batch",,https://developers.openai.com/api/docs/models/gpt-5.4-nano,a65d432a17dd4fb804e8c272015b6ef8145059a752c85a03063e8fdfd33e20d8
gpt-5.4-nano-2026-03-17,gpt-5.4-nano,True,True,True,True,True,True,"none,low,medium,high,xhigh",,"auto,concise,detailed",explicit_none,True,True,True,True,"auto,low,high",400000,272000,128000,"auto,default,flex","auto,default",in_memory,False,"apply_patch,code_interpreter,file_search,file_uploads,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,web_search","v1/chat/completions,v1/responses,v1/batch",,https://developers.openai.com/api/docs/models/gpt-5.4-nano,a65d432a17dd4fb804e8c272015b6ef8145059a752c85a03063e8fdfd33e20d8
gpt-5.4-pro,gpt-5.4-pro,False,True,False,False,False,False,"medium,high,xhigh",,"auto,concise,detailed",omit,False,True,False,True,"auto,low,high",1050000,,128000,"auto,default,flex","auto,default",,False,"apply_patch,computer_use,file_search,function_calling,image_generation,image_input,mcp,streaming,tool_search,web_search",v1/responses,"Ceník uvádí Batch, modelová stránka jej nepotvrzuje a nepotvrzuje strict Structured Outputs; aplikace model nepovoluje. Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.",https://developers.openai.com/api/docs/models/gpt-5.4-pro,60fe65fc171659d9d8520b33855f8e42599794e4b2d25040b74ace7b781b789c
gpt-5.4-pro-2026-03-05,gpt-5.4-pro,False,True,False,False,False,False,"medium,high,xhigh",,"auto,concise,detailed",omit,False,True,False,True,"auto,low,high",1050000,,128000,"auto,default,flex","auto,default",,False,"apply_patch,computer_use,file_search,function_calling,image_generation,image_input,mcp,streaming,tool_search,web_search",v1/responses,"Ceník uvádí Batch, modelová stránka jej nepotvrzuje a nepotvrzuje strict Structured Outputs; aplikace model nepovoluje. Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.",https://developers.openai.com/api/docs/models/gpt-5.4-pro,60fe65fc171659d9d8520b33855f8e42599794e4b2d25040b74ace7b781b789c
gpt-5.5,gpt-5.5,True,True,True,True,True,True,"none,low,medium,high,xhigh",,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high,original",1050000,,128000,"auto,default,flex,priority","auto,default",24h,False,"apply_patch,code_interpreter,computer_use,file_search,file_uploads,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.5,4b8e8f9e7e4c15e404d50e629c63d9bcc31224a9a9e7305142dfd48839ec9c75
gpt-5.5-2026-04-23,gpt-5.5,True,True,True,True,True,True,"none,low,medium,high,xhigh",,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high,original",1050000,,128000,"auto,default,flex,priority","auto,default",24h,False,"apply_patch,code_interpreter,computer_use,file_search,file_uploads,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.5,4b8e8f9e7e4c15e404d50e629c63d9bcc31224a9a9e7305142dfd48839ec9c75
gpt-5.5-pro,gpt-5.5-pro,True,True,True,True,True,True,"medium,high,xhigh",,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high,original",1050000,,128000,"auto,default,flex","auto,default",24h,False,"code_interpreter,file_search,function_calling,hosted_shell,image_generation,image_input,mcp,structured_outputs,web_search,file_uploads","v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.5-pro,cdf039ef1a02030958f98e64124095d51e9ba2311db493f51d38b998f9f23716
gpt-5.5-pro-2026-04-23,gpt-5.5-pro,True,True,True,True,True,True,"medium,high,xhigh",,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high,original",1050000,,128000,"auto,default,flex","auto,default",24h,False,"code_interpreter,file_search,function_calling,hosted_shell,image_generation,image_input,mcp,structured_outputs,web_search,file_uploads","v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.5-pro,cdf039ef1a02030958f98e64124095d51e9ba2311db493f51d38b998f9f23716
gpt-5.6,gpt-5.6-sol,True,True,True,True,True,True,"none,low,medium,high,xhigh,max","standard,pro","auto,concise,detailed",omit,True,True,True,True,"auto,low,high,original",1050000,922000,128000,"auto,default,flex,priority","auto,default",,True,"apply_patch,code_interpreter,computer_use,file_search,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search,file_uploads","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.6-sol,6aaf0b7116c48f427f3bbcd1d3f908d140ae3bfa44ea060bec3d007678b9c5df
gpt-5.6-cyber,gpt-5.6-cyber,True,True,False,True,False,True,,,"auto,concise,detailed",omit,True,True,True,True,"auto,low,high",400000,272000,128000,"auto,default","auto,default",in_memory,False,"apply_patch,code_interpreter,computer_use,file_search,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search,file_uploads",v1/responses,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.6-cyber,d6b93cefc844a1cacd565da2544f631dff1b7be2b6b1305ea70cb746371fa989
gpt-5.6-luna,gpt-5.6-luna,True,True,True,True,True,True,"none,low,medium,high,xhigh,max","standard,pro","auto,concise,detailed",omit,True,True,True,True,"auto,low,high,original",1050000,922000,128000,"auto,default,flex,priority","auto,default",,True,"apply_patch,code_interpreter,computer_use,file_search,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search,file_uploads","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.6-luna,d71a4bb908d62590c6546f3dc39201ed39f1bb96b175b3578cb873abaa7c4d2e
gpt-5.6-sol,gpt-5.6-sol,True,True,True,True,True,True,"none,low,medium,high,xhigh,max","standard,pro","auto,concise,detailed",omit,True,True,True,True,"auto,low,high,original",1050000,922000,128000,"auto,default,flex,priority","auto,default",,True,"apply_patch,code_interpreter,computer_use,file_search,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search,file_uploads","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.6-sol,6aaf0b7116c48f427f3bbcd1d3f908d140ae3bfa44ea060bec3d007678b9c5df
gpt-5.6-terra,gpt-5.6-terra,True,True,True,True,True,True,"none,low,medium,high,xhigh,max","standard,pro","auto,concise,detailed",omit,True,True,True,True,"auto,low,high,original",1050000,922000,128000,"auto,default,flex,priority","auto,default",,True,"apply_patch,code_interpreter,computer_use,file_search,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search,file_uploads","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-5.6-terra,266607c8909f7e4fdb75498a8eeea8441bddc6c311fe16d3f18c1f18c242b249
gpt-6-astra,gpt-6-astra,True,True,True,True,True,True,"low,medium,high,xhigh,max","standard,pro","auto,concise,detailed",omit,True,True,True,True,"auto,low,high,original",1050000,922000,128000,"auto,default,flex,priority","auto,default",,True,"apply_patch,code_interpreter,computer_use,file_search,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search,file_uploads","v1/chat/completions,v1/responses,v1/batch",Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-6-astra,593f63fcc87cced8695f56b828fcb5fe5a77adb59ab51ac57a5639cd9abd826f
gpt-audio,gpt-audio,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"function_calling,streaming",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-audio,2a25f3f6390aed0ca6f4216018bf35e30537285dec43b883d64a4b1f62aa8cb1
gpt-audio-1.5,gpt-audio-1.5,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"function_calling,streaming",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-audio-1.5,cb4de2cdba584bbdedebb7381b0ba4125bf46d48cb1539eb68bf0dcecad0b748
gpt-audio-2025-08-28,gpt-audio,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",,False,"function_calling,streaming",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-audio,2a25f3f6390aed0ca6f4216018bf35e30537285dec43b883d64a4b1f62aa8cb1
gpt-audio-mini,gpt-audio-mini,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",in_memory,False,"function_calling,prompt_caching",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-audio-mini,cc95228d6b78b568c6f68a3d1cdfdf77a573b9e777acd9f257b865d0891e4bc5
gpt-audio-mini-2025-10-06,gpt-audio-mini,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",in_memory,False,"function_calling,prompt_caching",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-audio-mini,cc95228d6b78b568c6f68a3d1cdfdf77a573b9e777acd9f257b865d0891e4bc5
gpt-audio-mini-2025-12-15,gpt-audio-mini,False,False,False,False,False,False,,,,omit,False,False,False,False,"auto,low,high",128000,,16384,"auto,default","auto,default",in_memory,False,"function_calling,prompt_caching",v1/chat/completions,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-audio-mini,cc95228d6b78b568c6f68a3d1cdfdf77a573b9e777acd9f257b865d0891e4bc5
gpt-daybreak-blue-latest,gpt-daybreak-blue-latest,True,True,False,True,False,True,,,"auto,detailed",omit,True,True,True,True,"auto,low,high",1050000,922000,128000,"auto,default","auto,default",in_memory,False,"apply_patch,code_interpreter,computer_use,file_search,function_calling,hosted_shell,image_generation,image_input,mcp,prompt_caching,skills,streaming,structured_outputs,tool_search,web_search,file_uploads",v1/responses,Sampling aplikace neposílá; u variant bez jednoznačného parametrového kontraktu není volba doložena.,https://developers.openai.com/api/docs/models/gpt-daybreak-blue-latest,2f3388c2d211f7164d6f22c616621062c372d7b8c997b4a70f291ef23ef8c9ab
